Wall time,Step,Value
1490370198.354632,26448279,850.0
1490370298.464004,26490665,160.0
1490370398.718441,26532962,240.0
1490370498.754231,26574873,860.0
1490370598.774438,26617156,1280.0
1490370699.000464,26659366,500.0
1490370799.268258,26701472,400.0
1490370899.384398,26743969,860.0
1490370999.393406,26785508,300.0
1490371099.577921,26827814,190.0
1490371199.818446,26870364,1470.0
1490371300.176017,26912119,280.0
1490371400.308394,26954362,390.0
1490371500.4612,26996650,360.0
1490371600.698568,27038422,390.0
1490371701.089781,27080981,2110.0
1490371801.038112,27122834,160.0
1490371901.166154,27164959,220.0
1490372001.373107,27207280,240.0
1490372101.598365,27249042,530.0
1490372201.631293,27291284,400.0
1490372301.648807,27333767,230.0
1490372401.863948,27375391,330.0
1490372501.900708,27417859,350.0
1490372602.179654,27459818,610.0
1490372702.206093,27501646,350.0
1490372802.413591,27544045,240.0
1490372902.597627,27586003,770.0
1490373002.798657,27628169,330.0
1490373102.907463,27670491,350.0
1490373203.026303,27712331,550.0
1490373303.136027,27754563,940.0
1490373403.165784,27796769,340.0
1490373503.329268,27838702,320.0
1490373603.402957,27881110,490.0
1490373703.446962,27922963,320.0
1490373803.879307,27965092,330.0
1490373904.025227,28007526,170.0
1490374004.243491,28049395,1150.0
1490374104.875261,28091844,410.0
1490374205.268285,28134367,350.0
1490374305.470666,28176124,490.0
1490374405.711411,28218485,880.0
1490374505.727558,28260801,210.0
1490374606.096659,28302639,1110.0
1490374706.37853,28345157,450.0
1490374806.644448,28387319,390.0
1490374906.671803,28429060,1830.0
1490375006.670571,28471459,1030.0
1490375106.865748,28513434,180.0
1490375206.933811,28555511,480.0
1490375307.048489,28597951,170.0
1490375407.136558,28640024,550.0
1490375507.250894,28682243,390.0
1490375607.365167,28724395,310.0
1490375707.426019,28766207,1200.0
1490375807.596192,28808575,890.0
1490375907.792424,28850613,1310.0
1490376007.94305,28891769,1250.0
1490376108.28714,28934006,430.0
1490376208.285901,28975968,270.0
1490376308.301482,29018231,810.0
1490376408.306879,29060160,550.0
1490376508.509023,29102084,520.0
1490376608.706208,29144462,610.0
1490376708.825709,29186270,670.0
1490376808.948699,29228357,1170.0
1490376909.177186,29270529,290.0
1490377009.36424,29312619,310.0
1490377109.43661,29354603,310.0
1490377209.585694,29396868,1280.0
1490377309.611053,29438502,670.0
1490377409.784178,29480851,470.0
1490377510.019494,29522848,280.0
1490377610.246153,29565038,290.0
1490377710.299147,29607037,1550.0
1490377810.39088,29649150,300.0
1490377910.585928,29691022,400.0
1490378010.778328,29733167,350.0
1490378110.96728,29775251,760.0
1490378211.104279,29817412,280.0
1490378311.154833,29859346,790.0
1490378411.170093,29901270,750.0
1490378511.258444,29943347,2460.0
1490378611.488584,29985652,1140.0
1490378711.492959,30027563,850.0
1490378811.742844,30069586,530.0
1490378911.85867,30111765,530.0
1490379012.234444,30154019,220.0
1490379112.515008,30196272,800.0
1490379212.675888,30238307,550.0
1490379312.777201,30280393,90.0
1490379413.038817,30322486,300.0
1490379513.589247,30364886,240.0
1490379613.708497,30407020,340.0
1490379713.826898,30449087,170.0
1490379813.94547,30491136,360.0
1490379913.995342,30528165,240.0
1490380014.207007,30560792,320.0
1490380114.313006,30595438,460.0
1490380214.3926,30630751,390.0
